ds,yhat
2020-11-06,106.38
2020-11-09,108.18
2020-11-10,108.69
2020-11-11,109.16
2020-11-12,109.6
2020-11-13,110.27
2020-11-16,112.0
2020-11-17,112.53
2020-11-18,113.04
2020-11-19,113.55
2020-11-20,114.29
2020-11-23,116.33
2020-11-24,116.97
2020-11-25,117.59
2020-11-27,119.04
2020-11-30,121.25
2020-12-01,121.91
2020-12-02,122.51
2020-12-03,123.09
2020-12-04,123.86
2020-12-07,125.69
2020-12-08,126.15
2020-12-09,126.55
2020-12-10,126.89
2020-12-11,127.4
2020-12-14,128.36
2020-12-15,128.52
2020-12-16,128.6
2020-12-17,128.62
2020-12-18,128.82
2020-12-21,128.91
2020-12-22,128.8
2020-12-23,128.63
2020-12-24,128.42
2020-12-28,127.96
2020-12-29,127.71
2020-12-30,127.43
2020-12-31,127.12
2021-01-04,126.46
2021-01-05,126.21
2021-01-06,125.93
2021-01-07,125.66
2021-01-08,125.61
2021-01-11,125.29
2021-01-12,125.15
2021-01-13,125.02
2021-01-14,124.89
2021-01-15,125.02
2021-01-19,125.41
2021-01-20,125.51
2021-01-21,125.64
2021-01-22,126.03
2021-01-25,127.1
2021-01-26,127.45
2021-01-27,127.8
2021-01-28,128.14
2021-01-29,128.72
2021-02-01,130.19
2021-02-02,130.59
2021-02-03,130.94
2021-02-04,131.24
2021-02-05,131.73
2021-02-08,132.6
2021-02-09,132.7
2021-02-10,132.7
2021-02-11,132.62
2021-02-12,132.67
2021-02-16,131.66
2021-02-17,131.13
2021-02-18,130.52
2021-02-19,130.07
2021-02-22,128.1
2021-02-23,127.31
2021-02-24,126.45
2021-02-25,125.57
2021-02-26,124.91
2021-03-01,122.71
2021-03-02,121.96
2021-03-03,121.22
2021-03-04,120.51
2021-03-05,120.08
2021-03-08,119.69
2021-03-09,119.62
2021-03-10,119.56
2021-03-11,119.54
2021-03-12,119.79
2021-03-15,120.48
2021-03-16,120.69
2021-03-17,120.89
2021-03-18,121.09
2021-03-19,121.49
2021-03-22,122.35
2021-03-23,122.51
2021-03-24,122.61
2021-03-25,122.66
2021-03-26,122.89
2021-03-29,123.04
2021-03-30,122.94
2021-03-31,122.77
2021-04-01,122.56
2021-04-05,122.1
2021-04-06,121.88
2021-04-07,121.63
2021-04-08,121.38
2021-04-09,121.37
2021-04-12,121.24
2021-04-13,121.21
2021-04-14,121.19
2021-04-15,121.19
2021-04-16,121.47
2021-04-19,122.26
2021-04-20,122.53
2021-04-21,122.81
2021-04-22,123.1
2021-04-23,123.63
2021-04-26,125.0
2021-04-27,125.4
2021-04-28,125.75
2021-04-29,126.08
2021-04-30,126.62
2021-05-03,127.79
2021-05-04,127.7
2021-05-05,127.55
2021-05-06,127.36
2021-05-07,127.37
2021-05-10,126.97
2021-05-11,126.74
2021-05-12,126.47
2021-05-13,126.19
2021-05-14,126.13
2021-05-17,125.73
2021-05-18,125.56
2021-05-19,125.39
2021-05-20,125.23
2021-05-21,125.32
2021-05-24,125.48
2021-05-25,125.53
2021-05-26,125.57
2021-05-27,125.62
2021-05-28,125.91
2021-06-01,126.79
2021-06-02,126.94
2021-06-03,127.08
2021-06-04,127.44
2021-06-07,128.2
2021-06-08,128.37
2021-06-09,128.49
