ds,yhat
2020-11-05,1.82
2020-11-06,1.83
2020-11-09,1.84
2020-11-10,1.85
2020-11-11,1.86
2020-11-12,1.86
2020-11-13,1.87
2020-11-16,1.88
2020-11-17,1.88
2020-11-18,1.89
2020-11-19,1.89
2020-11-20,1.89
2020-11-23,1.89
2020-11-24,1.89
2020-11-25,1.9
2020-11-26,1.89
2020-11-27,1.89
2020-11-30,1.88
2020-12-01,1.88
2020-12-02,1.89
2020-12-03,1.88
2020-12-04,1.88
2020-12-07,1.88
2020-12-08,1.88
2020-12-09,1.88
2020-12-10,1.88
2020-12-11,1.88
2020-12-14,1.9
2020-12-15,1.9
2020-12-16,1.91
2020-12-17,1.92
2020-12-18,1.92
2020-12-21,1.94
2020-12-22,1.95
2020-12-23,1.96
2020-12-24,1.96
2020-12-29,1.98
2020-12-30,1.99
2020-12-31,1.98
2021-01-04,1.97
2021-01-05,1.97
2021-01-06,1.97
2021-01-07,1.96
2021-01-08,1.95
2021-01-11,1.92
2021-01-12,1.92
2021-01-13,1.92
2021-01-14,1.91
2021-01-15,1.9
2021-01-18,1.89
2021-01-19,1.89
2021-01-20,1.9
2021-01-21,1.9
2021-01-22,1.9
2021-01-25,1.92
2021-01-26,1.92
2021-01-27,1.94
2021-01-28,1.95
2021-01-29,1.95
2021-02-01,1.98
2021-02-02,1.99
2021-02-03,2.01
2021-02-04,2.02
2021-02-05,2.02
2021-02-08,2.05
2021-02-09,2.06
2021-02-10,2.07
2021-02-11,2.07
2021-02-12,2.08
2021-02-16,2.1
2021-02-17,2.11
2021-02-18,2.11
2021-02-19,2.11
2021-02-22,2.12
2021-02-23,2.13
2021-02-24,2.14
2021-02-25,2.15
2021-02-26,2.15
2021-03-01,2.17
2021-03-02,2.18
2021-03-03,2.2
2021-03-04,2.2
2021-03-05,2.2
2021-03-08,2.2
2021-03-09,2.21
2021-03-10,2.21
2021-03-11,2.21
2021-03-12,2.21
2021-03-15,2.22
2021-03-16,2.22
2021-03-17,2.22
2021-03-18,2.22
2021-03-19,2.22
2021-03-22,2.22
2021-03-23,2.22
2021-03-24,2.23
2021-03-25,2.22
2021-03-26,2.22
2021-03-29,2.23
2021-03-30,2.24
2021-03-31,2.25
2021-04-01,2.25
2021-04-05,2.28
2021-04-06,2.29
2021-04-07,2.31
2021-04-08,2.31
2021-04-09,2.32
2021-04-12,2.35
2021-04-13,2.35
2021-04-14,2.37
2021-04-15,2.37
2021-04-16,2.37
2021-04-19,2.37
2021-04-20,2.37
2021-04-21,2.37
2021-04-22,2.37
2021-04-23,2.36
2021-04-26,2.33
2021-04-27,2.32
2021-04-28,2.31
2021-04-29,2.3
2021-04-30,2.28
2021-05-03,2.25
2021-05-04,2.24
2021-05-05,2.24
2021-05-06,2.23
2021-05-07,2.23
2021-05-10,2.22
